=== BRAND SHEET ===
1: Campaign	(Multiple Items)																											
2: Account	(Multiple Items)																											
3: 	*October launch																											
4: 	Column Labels																											
5: 	2019	2020				2021				2022				2023				2024				2025				2026		
45: Sum of CPA (EFID-Ref)	#DIV/0!	660.81	199.51	210.21																								
46: Sum of REF_Registrations_2(CT+VT)	409	3029	2064	360																								
47: Sum of CPA (RefReg2)	171.56	183.04	177.28	200.29																								
48: Sum of Reg	409	1934	1949	351.5																								
49: Sum of CPA (Reg)	171.56	286.67	187.74	205.13																								
50: Sum of CPC	5.57	5.91	4.32	4.1																								
53: 		avg. regs/quarter				avg. regs/quarter	YoY	Vs. Year 1		avg. regs/quarter	YoY	Vs. Year 1		avg. regs/quarter	YoY	Vs. Year 1		avg. regs/quarter	YoY	Vs. Year 1		avg. regs/quarter	YoY	Vs. Year 1		avg. regs/quarter	YoY	Vs. Year 1
54: 	CA '20	2133.1			CA '21	4960.5	1.33	1.33	CA '22	7225.31	0.46	2.39	CA '23	6820.12	-0.06	2.2	CA '24	5218.76	-0.23	1.45	CA '25	3345.33	-0.36	0.57	CA '26	586	-0.82	-0.73
55: 	MX '24	1777.67			MX '25	1387.5	-0.22	-0.22	MX '26	220	-0.84	-0.88	MX '27	#DIV/0!	#DIV/0!	#DIV/0!	MX '28	#DIV/0!	#DIV/0!	#DIV/0!	MX '29	#DIV/0!	#DIV/0!	#DIV/0!	MX '30	#DIV/0!	#DIV/0!	#DIV/0!
56: NB Quarterly reg volume	AU '25	1430.67			AU '26	351.5	-0.75	-0.75	AU '27	#DIV/0!	#DIV/0!	#DIV/0!	AU '28	#DIV/0!	#DIV/0!	#DIV/0!	AU '29	#DIV/0!	#DIV/0!	#DIV/0!	AU '30	#DIV/0!	#DIV/0!	#DIV/0!	AU '31	#DIV/0!	#DIV/0!	#DIV/0!
57: Market	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
58: CA	3225.32	1069	1839.53	2398.56	5429.74	5252.03	2898.05	6262.17	8598.94	6707.76	6615.95	6978.58	9538.45	5751.91	6801.13	5188.99	8158.57	5444.47	4052.4	3219.59	3064.82	2381	4328.5	3607	586			
59: QoQ		-0.67	0.72	0.3	1.26	-0.03	-0.45	1.16	0.37	-0.22	-0.01	0.05	0.37	-0.4	0.18	-0.24	0.57	-0.33	-0.26	-0.21	-0.05	-0.22	0.82	-0.17	-0.84			
60: YoY					0.68	3.91	0.58	1.61	0.58	0.28	1.28	0.11	0.11	-0.14	0.03	-0.26	-0.14	-0.05	-0.4	-0.38	-0.62	-0.56	0.07	0.12	-0.81			
61: MX	205	1411	2237	1685	1480	1534	1289	1247	220																			
62: QoQ		5.88	0.59	-0.25	-0.12	0.04	-0.16	-0.03	-0.82																			
63: YoY					6.22	0.09	-0.42	-0.26	-0.85																			
64: AU		409	1934	1949	351.5																							
65: QoQ			3.73	0.01	-0.82																							
66: YoY																												
69: 		avg. clicks/quarter				avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1
70: 	CA '20	304595.5			CA '21	462221.5	0.52	215.69	CA '22	692115.25	0.5	323.46	CA '23	364657.25	-0.47	169.95	CA '24	256397.5	-0.3	119.2	CA '25	168449.75	-0.34	77.97	CA '26	36757	-0.78	16.23
71: 	MX '24	214446			MX '25	128906.5	-0.4	71.51	MX '26	24862	-0.81	12.99	MX '27	#DIV/0!	#DIV/0!	#DIV/0!	MX '28	#DIV/0!	#DIV/0!	#DIV/0!	MX '29	#DIV/0!	#DIV/0!	#DIV/0!	MX '30	#DIV/0!	#DIV/0!	#DIV/0!
72: NB Quarterly clicks	AU '25	63697.67			AU '26	17570	-0.72	11.28	AU '27	#DIV/0!	#DIV/0!	#DIV/0!	AU '28	#DIV/0!	#DIV/0!	#DIV/0!	AU '29	#DIV/0!	#DIV/0!	#DIV/0!	AU '30	#DIV/0!	#DIV/0!	#DIV/0!	AU '31	#DIV/0!	#DIV/0!	#DIV/0!
73: Market	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
74: CA	184601	136933	456104	440744	362972	497180	439683	549051	667208	596149	547949	957155	562750	338496	375290	182093	219591	279570	295296	231133	140956	108899	205112	218832	36757			
75: QoQ		-0.26	2.33	-0.03	-0.18	0.37	-0.12	0.25	0.22	-0.11	-0.08	0.75	-0.41	-0.4	0.11	-0.51	0.21	0.27	0.06	-0.22	-0.39	-0.23	0.88	0.07	-0.83			
76: YoY					0.97	2.63	-0.04	0.25	0.84	0.2	0.25	0.74	-0.16	-0.43	-0.32	-0.81	-0.61	-0.17	-0.21	0.27	-0.36	-0.61	-0.31	-0.05	-0.74			
77: MX	22371	166993	267395	208950	158499	126286	115792	115049	24862																			
78: QoQ		6.46	0.6	-0.22	-0.24	-0.2	-0.08	-0.01	-0.78																			
79: YoY					6.09	-0.24	-0.57	-0.45	-0.84																			
80: AU		12588	93741	84764	17570																							
81: QoQ			6.45	-0.1	-0.79																							
82: YoY																												
85: 		avg. CPA/quarter				avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1		avg. CPA/quarter	YoY	Vs. Year 1
86: 	CA '20	198.25			CA '21	226.85	0.14	0.14	CA '22	210.82	-0.07	0.06	CA '23	126.14	-0.4	-0.36	CA '24	116.98	-0.07	-0.41	CA '25	142.05	0.21	-0.28	CA '26	146.62	0.03	-0.26
87: 	MX '24	201.62			MX '25	176.15	-0.13	-0.13	MX '26	112.49	-0.36	-0.44	MX '27	#DIV/0!	#DIV/0!	#DIV/0!	MX '28	#DIV/0!	#DIV/0!	#DIV/0!	MX '29	#DIV/0!	#DIV/0!	#DIV/0!	MX '30	#DIV/0!	#DIV/0!	#DIV/0!
88: NB Quarterly CPA	AU '25	215.32			AU '26	205.13	-0.05	-0.05	AU '27	#DIV/0!	#DIV/0!	#DIV/0!	AU '28	#DIV/0!	#DIV/0!	#DIV/0!	AU '29	#DIV/0!	#DIV/0!	#DIV/0!	AU '30	#DIV/0!	#DIV/0!	#DIV/0!	AU '31	#DIV/0!	#DIV/0!	#DIV/0!
89: Market	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
90: CA	87.6	174.56	239.63	291.22	140.32	213.31	354.83	198.94	146.6	257.75	215.95	222.99	129.02	130.59	146.71	98.24	58.93	106.72	132.07	170.22	154.14	152.22	119.36	142.49	146.62			
91: QoQ		0.99	0.37	0.22	-0.52	0.52	0.66	-0.44	-0.26	0.76	-0.16	0.03	-0.42	0.01	0.12	-0.33	-0.4	0.81	0.24	0.29	-0.09	-0.01	-0.22	0.19	0.03			
92: YoY					0.6	0.22	0.48	-0.32	0.04	0.21	-0.39	0.12	-0.12	-0.49	-0.32	-0.56	-0.54	-0.18	-0.1	0.73	1.62	0.43	-0.1	-0.16	-0.05			
93: MX	173.37	188.86	150.38	265.63	263.45	200.77	125.27	115.1	112.49																			
94: QoQ		0.09	-0.2	0.77	-0.01	-0.24	-0.38	-0.08	-0.02																			
95: YoY					0.52	0.06	-0.17	-0.57	-0.57																			
96: AU		171.56	286.67	187.74	205.13																							
97: QoQ			0.67	-0.35	0.09																							
98: YoY																												
101: 		avg. CPC/quarter				avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1		avg. CPC/quarter	YoY	Vs. Year 1
102: 	CA '20	1.36			CA '21	2.24	0.65	0.65	CA '22	2.26	0.01	0.66	CA '23	2.47	0.09	0.81	CA '24	2.11	-0.14	0.55	CA '25	2.89	0.37	1.12	CA '26	2.34	-0.19	0.72
103: 	MX '24	1.67			MX '25	1.89	0.13	0.13	MX '26	1.0	-0.47	-0.4	MX '27	#DIV/0!	#DIV/0!	#DIV/0!	MX '28	#DIV/0!	#DIV/0!	#DIV/0!	MX '29	#DIV/0!	#DIV/0!	#DIV/0!	MX '30	#DIV/0!	#DIV/0!	#DIV/0!
104: NB Quarterly CPC	AU '25	5.27			AU '26	4.1	-0.22	-0.22	AU '27	#DIV/0!	#DIV/0!	#DIV/0!	AU '28	#DIV/0!	#DIV/0!	#DIV/0!	AU '29	#DIV/0!	#DIV/0!	#DIV/0!	AU '30	#DIV/0!	#DIV/0!	#DIV/0!	AU '31	#DIV/0!	#DIV/0!	#DIV/0!
105: Market	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
106: CA	1.53	1.36	0.97	1.58	2.1	2.25	2.34	2.27	1.89	2.9	2.61	1.63	2.19	2.22	2.66	2.8	2.19	2.08	1.81	2.37	3.35	3.33	2.52	2.35	2.34			
