Search terms report
"March 15, 2026 - March 28, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Source
amazon business que es y para que sirve,Phrase match (close variant),None,MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",1,7,14.29%,USD,3.18,3.18,Keyword
chalecos de seguridad industrial,Phrase match (close variant),None,MX - Industrial,Clothing_Phrase,"""ropa industrial""",1,10,10.00%,USD,1.67,1.67,Keyword
distribuidores de botanas al mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",1,4,25.00%,USD,2.84,2.84,Keyword
dispensador de bebidas para bar,Phrase match (close variant),None,MX - Food,Generic_Restaurant_Phrase,"""suministros para restaurantes""",1,2,50.00%,USD,1.70,1.70,Keyword
mini botellas de licor mayoreo,Phrase match (close variant),None,MX - Food,Drinks_Suppliers_Phrase,"""proveedores de licor""",1,4,25.00%,USD,2.96,2.96,Keyword
proveedor de carnes para restaurantes,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",1,2,50.00%,USD,1.68,1.68,Keyword
proveedores para panaderia,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",1,1,100.00%,USD,1.70,1.70,Keyword
baberos desechables para restaurantes,Phrase match (close variant),None,MX - Food,Shop_Phrase,"""tienda de hostelería""",1,2,50.00%,USD,1.57,1.57,Keyword
tequila por mayoreo,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",1,7,14.29%,USD,1.69,1.69,Keyword
cajas de jugos por mayor,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",1,1,100.00%,USD,1.43,1.43,Keyword
donde puedo comprar tequila por mayoreo,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",1,2,50.00%,USD,1.95,1.95,Keyword
mantequilla mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",1,11,9.09%,USD,4.24,4.24,Keyword
eversys coffee machine,Phrase match (close variant),None,MX - Food,Coffee Machines_Phrase,"""máquinas de café profesionales""",1,1,100.00%,USD,1.98,1.98,Keyword
amazon factura las compras,Exact match (close variant),None,MX - Invoice AMZ,Invoice_Exact,[factura amazon],1,7,14.29%,USD,7.26,7.26,Keyword
estantes para papeleria,Phrase match (close variant),None,MX - Shops,Shops_Generic_Phrase,"""equipos para tiendas""",2,2,100.00%,USD,1.13,2.26,Keyword
amazon empresarial,Exact match,Added,MX - Brand Exact,Pure_Exact,[amazon empresarial],19,43,44.19%,USD,0.04,0.77,Keyword
amazon business iniciar sesion,Exact match (close variant),None,MX - Brand Exact,Login_Exact,[amazon business entrar],2,2,100.00%,USD,0.34,0.68,Keyword
amazon negocio,Exact match (close variant),None,MX - Brand Exact,Account_Exact,[cuenta de empresa en amazon],1,2,50.00%,USD,5.23,5.23,Keyword
como comprar tenis por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",1,2,50.00%,USD,0.51,0.51,Keyword
tienda mayorista de utiles escolares,Exact match (close variant),None,MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],1,2,50.00%,USD,0.98,0.98,Keyword
