Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
audifonos inalambricos mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",10,27,15.81
maquillaje por mayoreo original usa,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",10,39,13.89
mini botellas de licor mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",9,25,12.79
loza para eventos,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",9,58,12.58
loza para restaurante,Phrase match (close variant),MX - Food,Cultlery_Phrase,"""vajilla profesional""",9,124,26.82
sillas altas para barra,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""sillas de bar""",9,106,25.27
venta de loza para eventos por mayoreo,Phrase match (close variant),MX - Food,Cultlery_Phrase,"""vajilla profesional""",9,46,21.6
venta de sillas y mesas para fiestas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",9,18,10.73
ropa mayoreo,Exact match,MX - Apparel,Clothing_Exact,[ropa mayoreo],9,68,6.66
amazon corporativo,Exact match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",9,73,37.8
activate amazon corp com,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",9,73,78.03
amazon wholesale,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",9,32,8.6
cuanto cuesta amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",9,24,24.61
escritorio de oficina,Exact match (close variant),MX - Office,Office Furniture_Exact,[escritorio para oficina],9,66,22.44
kdp amazon,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",9,100,41.32
como ser una agencia de amazon,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",9,36,54.97
venta de sillas y mesas por mayoreo precio,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",9,37,14.75
productos de mayoreo,Exact match (close variant),MX - Generic,Wholesales_Products_Exact,[artículos al por mayor],9,53,18.33
velas aromaticas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",9,88,17.18
airone mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",9,119,12.26
sillas plegables mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",9,49,15.93
productos al mayoreo para vender,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],9,22,15.59
máquina de hielo para negocio,Exact match (close variant),MX - Food,Restaurant_Phrase,"""máquinas de hielo profesionales""",9,62,8.42
bolsas de manta mayoreo,Phrase match (close variant),MX - Apparel,Accessories_Wholesales_Phrase,"""bolsas de tela al por mayor""",9,61,10.25
en amazon se puede facturar,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",9,52,30.93
30 descuento amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",9,44,4.6
productos por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],9,45,13.05
donde comprar croquetas a precio de fábrica,Phrase match (close variant),MX - Shops,Shops_Wholesales_Pet Shop_Phrase,"""venta al por mayor de alimentos para mascotas""",9,71,16.88
herramientas baratas para revender,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",9,20,19.66
productos al mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],9,49,18.66
proveedores de essentials,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",9,29,12.61
amazon business login,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""amazon business cuenta""",9,16,1.81
trituradora de papel uso rudo,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",9,40,13.66
vendor central,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",9,140,46.33
sillas escritorio,Exact match (close variant),MX - Office,Furniture_Exact,[sillas oficina],9,59,21.07
cupon amazon business,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon para empresas""",9,30,0.97
proveedores de refacciones automotrices por mayoreo,Phrase match (close variant),MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",9,69,24.16
maquillaje por mayoreo original,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",9,48,9.1
escritorio oficina,Exact match (close variant),MX - Office,Office Furniture_Exact,[escritorio para oficina],9,98,22.23
amazon business login,Exact match (close variant),MX - Brand Exact,Account_Exact,[amazon business account],9,40,15.01
amazon business descuento primera compra,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",9,30,2.35
articulos de oficina,Exact match (close variant),MX - Office,Generic_Exact,[accesorios de oficina],9,150,26.84
paca de ropa americana,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",9,29,8.62
memoria usb mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",9,58,14.55
mostrador para negocio,Phrase match (close variant),MX - Shops,Shops_Furniture_Phrase,"""mobiliario para tiendas""",9,44,8.05
proveedor de papeleria,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],9,86,15.9
perfumes mayoreo,Exact match (close variant),MX - Beauty,Fragrance_Wholesale_Phrase,"""mayorista de perfume""",9,50,9.47
venta de ropa por mayoreo,Exact match (close variant),MX - Apparel,Clothing_Exact,[ropa para vender por mayoreo],9,50,5.51
proveedores de ropa en monterrey,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",9,61,6.05
accesorios para oficina,Exact match (close variant),MX - Office,Generic_Exact,[accesorios de oficina],9,60,9.08
maquillaje bissu mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",9,22,12.18
como ser bodega de amazon,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",8,56,39.89
platos de melamina por mayoreo,Phrase match (close variant),MX - Food,Plates_Wholesale_Phrase,"""platos al por mayor""",8,41,11.31
grupo modelo ventas mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",8,52,13.71
airpods mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",8,23,8.1
amazon mexico corporativo,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",8,86,24.43
donde comprar productos chinos para vender,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",8,30,20.55
productos a mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],8,29,15.34
maquillaje mayoreo original,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",8,28,10.76
cuenta en amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""a cuenta amazon""",8,38,12.01
facturar amazon mexico,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""facturar amazon mexico""",8,54,27.35
como ser distribuidor de amazon méxico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",8,49,35.53
organizadores de escritorio,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",8,57,13.37
amazon vendedor login,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",8,34,14.48
proveedores de ropa en guadalajara,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",8,61,7.29
maquinas de cafe para negocio,Exact match (close variant),MX - Food,Coffee Machines_Phrase,"""máquinas de café profesionales""",8,18,9.65
abarrotes mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",8,57,15.5
productos promocionales para empresas,Phrase match (close variant),MX - Generic,Enterprises_Purchasing_Phrase,"""compras para empresas""",8,27,40.79
electrolit mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",8,40,9.67
bolsas de regalo mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",8,44,17.38
merch by amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""merch by amazon""",8,104,40.37
tiendas mayoristas en méxico,Exact match (close variant),MX - Generic,Core_Wholesalers_Exact,[mayorista mexico],8,51,17.75
catálogos de productos chinos para importar,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",8,29,11.66
proveedores de ropa,Phrase match (close variant),MX - Shops,Shops_Procurement_Clothing_Phrase,"""compra de prendas de vestir""",8,32,9.04
amazon pymes,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",8,21,13.71
tienda mayorista,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],8,130,12.65
air one mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Clothing_Phrase,"""zapatos en venta al por mayor""",8,83,16.58
proveedores de productos de belleza para estéticas,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",8,27,12.42
termos al mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",8,29,17.78
perfumes arabes mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",8,38,15.23
amazon registrarse,Phrase match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""a cuenta amazon""",8,22,13.73
playeras mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",8,44,9.11
descuento primera compra amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",8,36,1.72
mostrador para negocio,Phrase match (close variant),MX - Shops,Shops_Generic_Phrase,"""equipos para tiendas""",8,100,8.91
trituradora de papel,Exact match (close variant),MX - Office,Office Organization_Wholesalers_Exact,[trituradora de documentos],8,97,11.13
iphone mayoreo,Phrase match (close variant),MX - Electronics,Cell Phones_Distributor_Phrase,"""distribuidores de smartphone""",8,39,12.63
termos a mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",8,40,14.79
productos para revender directo de fábrica,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",8,36,12.45
codigo promocional amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",8,14,13.87
beauty creations mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",8,62,11.99
www officedepot com mx,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",8,82,11.86
para que sirve amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",8,47,29.21
factura en amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""factura en amazon""",8,59,29.35
maquillaje en mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],8,24,10.26
amazon mexico business,Exact match (close variant),MX - Brand Exact,Pure_Exact,[amazon business méxico],8,16,1.45
ventiladores mayoreo,Phrase match (close variant),MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",8,30,14.74
playeras baratas por mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",8,38,6.85
proveedor ropa deportiva,Exact match (close variant),MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",8,43,12.46
como facturar en amazon una compra,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",8,24,50.41
factura amazon mexico,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""facturar amazon mexico""",8,29,38.27
bath and body works mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",8,31,12.97
papeleria al mayoreo,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],8,31,15.03
factura de amazon pdf,Phrase match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""pedir factura en amazon""",8,30,29.4
amazon vendor,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",8,45,19.23
como facturar una compra de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",8,45,34.66
comandas para restaurante,Phrase match (close variant),MX - Food,Products_Phrase,"""productos para hostelería""",7,65,17.29
bebidas coreanas mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",7,12,8.26
donde venden cerveza barata por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",7,19,9.47
memorias usb mayoreo,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",7,81,11.35
gloss mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",7,37,12.25
perfumes por mayoreo,Exact match (close variant),MX - Beauty,Fragrance_Wholesale_Exact,[perfume al por mayor],7,31,4.15
carpetas para documentos,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",7,65,9.47
proveedores de maquillaje elf,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",7,21,13.63
gelatinas d gari por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",7,19,9.71
proveedores maquillaje alta gama,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",7,15,8.2
pch mayoreo,Phrase match (close variant),MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",7,376,41.95
comprar mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],7,19,7.03
ventas al mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],7,18,11.6
maruchan mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",7,56,11.35
tiendanube mexico,Phrase match (close variant),MX - Generic,Enterprises_Shop_Phrase,"""tienda online para negocios""",7,105,15.38
essentials mayoreo,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",7,23,10.95
mini botellas de tequila al por mayoreo,Phrase match (close variant),MX - Food,Drinks_Suppliers_Phrase,"""proveedores de licor""",7,33,7.83
