Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
mayorista,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],12,239,19.78
tecnoback mayoristas,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",12,84,13.47
mini termos mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",12,23,15.35
platos para restaurante,Phrase match (close variant),MX - Food,Cultlery_Phrase,"""vajilla profesional""",12,102,31.27
como facturar un pedido de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",12,58,49.25
amazon corporativo mexico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",12,125,30.6
pacas de ropa,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",12,63,9.76
vasos de vidrio mayoreo,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores de cristalería""",11,45,17.82
desechables a precio de fábrica,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",11,67,13.49
celulares a mayoreo,Phrase match (close variant),MX - Electronics,Cell Phones_Distributor_Phrase,"""distribuidores de smartphone""",11,32,17.75
mi cuenta amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""a cuenta amazon""",11,65,19.7
proveedores de papelería al mayoreo,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],11,102,18.69
organizador de escritorio,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",11,451,14.22
proveedores mayoristas méxico,Exact match (close variant),MX - Generic,Core_Wholesalers_Exact,[mayorista mexico],11,131,11.36
proveedores de productos,Exact match (close variant),MX - Generic,Suppliers_Enterprises_Exact,[proveedores para negocios],11,75,36.17
venta por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],11,44,16.48
codigo descuento amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",11,31,18.84
venta de sillas y mesas para fiestas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",11,46,17.11
como ser agencia de amazon,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",11,136,67.27
donde comprar ropa por mayoreo para vender,Exact match (close variant),MX - Apparel,Clothing_Exact,[ropa para vender por mayoreo],11,21,13.49
engargoladora,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",11,196,14.83
accesorios de oficina,Exact match,MX - Office,Generic_Exact,[accesorios de oficina],11,64,12.17
amazon proveedores de transporte,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",11,56,87.63
vasos desechables para cafe,Phrase match (close variant),MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",11,107,21.35
playeras de algodon mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",11,38,9.87
ropa deportiva mayoreo,Exact match (close variant),MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",11,49,14.74
como pedir factura en amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""como pedir factura en amazon""",11,124,42.09
amazon mi cuenta,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""a cuenta amazon""",11,72,19.8
office depot puebla,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",11,170,12.37
velas aromaticas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",10,40,16.34
frascos de vidrio mayoreo baratos,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",10,77,17.06
articulos promocionales,Phrase match (close variant),MX - Generic,Core_Enterprises_Products_Phrase,"""productos para empresas""",10,158,21.03
venta de perfumes originales por mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",10,41,17.61
ropa para revender directo de fábrica,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",10,42,8.07
papeleria por mayoreo,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],10,88,26.82
botellas de plástico mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",10,52,13.77
tecnoback mayoristas com,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",10,50,14.36
distribuidores mayoristas para revendedores,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedor para mayoristas],10,101,23.32
espejos de bolsillo mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",10,85,20.74
hat one mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""venta directa al por mayor""",10,68,14.55
productos de limpieza a granel para negocio,Phrase match (close variant),MX - Janitorial,Wholesalers_Phrase,"""mayoristas de artículos de limpieza""",10,67,18.09
abarrotera lagunitas mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",10,70,14.07
audífonos por mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",10,41,14.91
venta de productos de limpieza por mayoreo,Exact match (close variant),MX - Janitorial,Wholesalers_Exact,[mayoristas de artículos de limpieza],10,51,14.15
proveedores de maquillaje por mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],10,51,21.08
maquillaje al mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],10,83,15.2
proveedores de perfumes originales,Phrase match (close variant),MX - Beauty,Fragrance_Distributors_Phrase,"""distribuidores perfume""",10,42,16.25
como se factura en amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Exact,[factura amazon],10,52,35.73
como facturar compras de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",10,53,40.97
amazon seller login,Phrase match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""seller central""",10,60,27.73
amazon mayoreo,Exact match (close variant),MX - Generic AMZ,Generic_Wholesalers_Exact,[mayorista amazon],10,10,13.99
libretas por mayoreo,Exact match (close variant),MX - Office,Office Supplies_Wholesalers_Exact,[cuadernos mayorista],10,40,14.87
paquete de hojas blancas,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",10,155,15.16
amazon business descuento primera compra,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",10,46,3.02
caja de hojas blancas tamaño carta,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",10,214,10.33
facturas amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""facturas amazon""",10,73,27.53
venta de maquillaje por mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],10,29,16.78
papas sol precio mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",10,71,14.71
audifonos mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",10,31,12.44
proveedores de ropa por mayoreo,Exact match (close variant),MX - Apparel,Clothing_Exact,[comprar ropa al por mayor],10,42,12.25
perfumes arabes mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Wholesale_Phrase,"""mayorista de perfume""",10,26,17.22
